Run,Detector,Yield,Yield err,Area,Area err,sig1,X2NDF,IsValid,Status,Q_int
run_0118,det0,0.00727391,0.000171467,2941.89,69.349,9.67506,0.908009,1,0,404444
run_0118,det1,0.00693952,0.00016406,2806.65,66.3529,11.1309,1.14735,1,0,404444
run_0118,det2,0.00315521,0.000117085,1276.11,47.3545,10.3325,1.22396,1,0,404444
run_0118,det3,0.00675209,0.000166504,2730.84,67.3417,11.6447,1.0155,1,0,404444
run_0118,det4,0.00728017,0.000165547,2944.42,66.9546,11.2141,1.10876,1,0,404444
run_0118,det5,0.00753507,0.000177626,3047.52,71.8397,11.745,1.07072,1,0,404444
run_0118,det6,0.0079194,0.000176169,3202.95,71.2507,10.6884,0.945989,1,0,404444
run_0118,det7,0.00759997,0.000191981,3073.76,77.6457,11.3639,1.05825,1,0,404444
run_0118,det8,0.00762561,0.000163279,3084.13,66.0371,10.7648,0.87155,1,0,404444
run_0118,det9,0.00686182,0.000147702,2775.22,59.7372,9.91227,1.1579,1,0,404444
run_0118,det10,0.00379079,0.000156983,1533.16,63.4907,13.3771,0.93848,1,0,404444
run_0118,det11,0.00549816,0.000160969,2223.7,65.1031,12.5303,1.75019,1,0,404444
run_0118,det12,0.00709613,0.000166652,2869.99,67.4016,10.4131,1.11663,1,0,404444
run_0119,det0,0.00416955,0.000109532,2588.64,68.0026,9.62093,1.31136,1,0,620844
run_0119,det1,0.00414348,0.000112397,2572.46,69.7811,10.6208,1.15978,1,0,620844
run_0119,det2,0.00195956,8.48346e-05,1216.58,52.6691,10.8832,1.0707,1,0,620844
run_0119,det3,0.00409891,0.000111184,2544.78,69.0282,10.9485,1.18628,1,0,620844
run_0119,det4,0.00447068,0.000123016,2775.59,76.3735,11.9555,1.16585,1,0,620844
run_0119,det5,0.00456664,0.000123357,2835.17,76.5854,12.2878,1.05051,1,0,620844
run_0119,det6,0.00471687,0.00012084,2928.44,75.0231,10.8691,1.04633,1,0,620844
run_0119,det7,0.00481575,0.000131295,2989.83,81.5134,12.2204,1.00072,1,0,620844
run_0119,det8,0.00436488,0.000112337,2709.91,69.7439,10.4647,1.2705,1,0,620844
run_0119,det9,0.00394242,0.000100789,2447.63,62.5743,9.96823,1.24001,1,0,620844
run_0119,det10,0.00245991,0.000121215,1527.22,75.2554,14.158,0.967599,1,0,620844
run_0119,det11,0.00344455,0.000114895,2138.53,71.3319,13.3538,1.09629,1,0,620844
run_0119,det12,0.0043186,0.000115074,2681.18,71.4431,10.3305,1.02637,1,0,620844
run_0120,det0,0.00231349,9.31232e-05,1660.52,66.8395,10.1298,1.24662,1,0,717754
run_0120,det1,0.00244187,8.87732e-05,1752.66,63.7173,10.6414,1.23007,1,0,717754
run_0120,det2,0.00102047,6.94223e-05,732.447,49.8282,10.1285,1.10737,1,0,717754
run_0120,det3,0.00229508,8.90431e-05,1647.3,63.911,11.6923,1.2806,1,0,717754
run_0120,det4,0.00245834,9.8722e-05,1764.48,70.8581,11.7499,0.925976,1,0,717754
run_0120,det5,0.00271013,0.00010148,1945.21,72.8378,12.0594,0.996909,1,0,717754
run_0120,det6,0.00281847,9.79677e-05,2022.97,70.3167,10.6339,1.382,1,0,717754
run_0120,det7,0.00274638,0.000104166,1971.23,74.7656,11.3676,1.25232,1,0,717754
run_0120,det8,0.00245749,9.15736e-05,1763.87,65.7273,10.7579,1.22255,1,0,717754
run_0120,det9,0.00211893,8.03048e-05,1520.87,57.6391,9.54801,1.14623,1,0,717754
run_0120,det10,0.00121462,0.000110029,871.798,78.9741,14.3162,1.13919,1,0,717754
run_0120,det11,0.00201412,9.1898e-05,1445.64,65.9601,12.9904,1.26147,1,0,717754
run_0120,det12,0.00239986,9.29245e-05,1722.51,66.6969,10.1921,1.02598,1,0,717754
run_0121,det0,0.00203966,0.000103286,1217.91,61.6738,9.73041,1.14765,1,0,597114
run_0121,det1,0.00215101,0.000103444,1284.4,61.7676,11.5149,1.1017,1,0,597114
run_0121,det2,0.0010115,8.34683e-05,603.981,49.8401,11.6883,0.920222,1,0,597114
run_0121,det3,0.00197303,9.84127e-05,1178.12,58.7636,11.5187,0.850513,1,0,597114
run_0121,det4,0.00232686,0.000107964,1389.4,64.4669,11.966,1.17682,1,0,597114
