Run,Detector,Yield,Yield err,Area,Area err,sig1,X2NDF,IsValid,Status,Q int,Time
run_0084,det5,0.00649803,0.000215078,1427.8,47.2586,15.0283,1.19471,1,0,219728,384
run_0084,det6,0.00667256,0.000200507,1466.15,44.057,12.1297,0.994763,1,0,219728,384
run_0084,det7,0.00642123,0.000205292,1410.92,45.1084,12.6251,1.04724,1,0,219728,384
run_0084,det8,0.00650513,0.000201463,1429.36,44.2672,11.7999,1.30794,1,0,219728,384
run_0084,det9,0.00710895,0.00020953,1562.03,46.0395,11.5587,1.17728,1,0,219728,384
run_0084,det10,0.00351889,0.000185588,773.199,40.7789,15.5948,0.932036,1,0,219728,384
run_0084,det11,0.0065411,0.000252484,1437.26,55.4778,14.5982,1.0798,1,0,219728,384
run_0084,det12,0.00698765,0.000203931,1535.38,44.8093,12.386,0.814424,1,0,219728,384
run_0085,det0,0.0113285,0.000175476,5281.87,81.8146,10.9829,0.938372,1,0,466244,824
run_0085,det1,0.00989691,0.000170947,4614.37,79.703,12.279,1.04392,1,0,466244,824
run_0085,det2,0.00610218,0.000135658,2845.1,63.2495,12.4944,0.946467,1,0,466244,824
run_0085,det3,0.0102697,0.000173968,4788.21,81.1115,13.1112,1.28901,1,0,466244,824
run_0085,det4,0.0097305,0.000173144,4536.79,80.7275,13.8168,1.35417,1,0,466244,824
run_0085,det5,0.00995313,0.000179107,4640.59,83.5075,14.8999,1.22362,1,0,466244,824
run_0085,det6,0.0101041,0.000168906,4710.96,78.7515,12.3327,1.11069,1,0,466244,824
run_0085,det7,0.010324,0.000176257,4813.51,82.1787,13.6713,1.03367,1,0,466244,824
run_0085,det8,0.0106782,0.000173097,4978.63,80.7057,11.8476,1.22759,1,0,466244,824
run_0085,det9,0.0103473,0.000163596,4824.38,76.2756,11.4272,1.46158,1,0,466244,824
run_0085,det10,0.00576158,0.000165881,2686.3,77.3409,16.5214,0.939571,1,0,466244,824
run_0085,det11,0.00991808,0.000231523,4624.24,107.946,16.1603,0.961199,1,0,466244,824
run_0085,det12,0.0109072,0.000174291,5085.42,81.2622,12.3223,1.0596,1,0,466244,824
run_0086,det0,0.0125058,0.000290163,2218.19,51.4671,10.9225,1.30079,1,0,177373,321
run_0086,det1,0.0108125,0.0002795,1917.85,49.5758,12.2276,0.945969,1,0,177373,321
run_0086,det2,0.00623765,0.000220826,1106.39,39.1685,11.5385,0.978796,1,0,177373,321
run_0086,det3,0.0114514,0.000294523,2031.17,52.2405,13.5007,1.01979,1,0,177373,321
run_0086,det4,0.0105946,0.000287958,1879.2,51.0759,13.7191,1.05348,1,0,177373,321
run_0086,det5,0.0110925,0.000301977,1967.51,53.5625,15.0365,1.10257,1,0,177373,321
run_0086,det6,0.0102661,0.000276766,1820.93,49.0908,11.7614,1.04266,1,0,177373,321
run_0086,det7,0.0112644,0.000293634,1998,52.0827,13.7849,1.01291,1,0,177373,321
run_0086,det8,0.0111804,0.000282012,1983.1,50.0212,11.6658,1.02716,1,0,177373,321
run_0086,det9,0.011333,0.000284358,2010.17,50.4374,11.6349,0.977624,1,0,177373,321
