,a0,a1,a2,a0_err,a1_err,a2_err,Chi2,Pval,Chi2NDF
2.9079,0.005061579546654805,0.0007622303204526024,-0.0005049955469559036,2.2594549275849214e-05,4.309725311820438e-05,4.995810312372205e-05,81.98305873871976,6.618608343270872e-17,20.49576468467994
2.9085,0.005053683403619757,0.0006831857095314841,-0.000490810916495844,2.7760694903975734e-05,5.302527113869234e-05,6.129334153232893e-05,46.91959611185282,1.5848640886238974e-09,11.729899027963205
2.909,0.004942286718927355,0.0007145954782385826,-0.0004873415471555167,1.899403423299919e-05,3.6216575922930684e-05,4.191177194239065e-05,141.20524492825098,1.558115273117101e-29,35.301311232062744
2.9095,0.004819380274312431,0.0006997099750026907,-0.00045852229194327885,1.9058856268797084e-05,3.6322647931460494e-05,4.214904351261016e-05,128.48732939600023,8.201046446682699e-27,32.12183234900006
2.91,0.0047194413497288965,0.0007319237173264207,-0.0004904201659301178,1.8680731952231722e-05,3.5606888617698906e-05,4.1307251564562404e-05,135.0362694099844,3.2587586781443906e-28,33.7590673524961
2.9103,0.004649066675983407,0.0006512258667719746,-0.00046278079693091393,1.84717646738609e-05,3.5265110386707616e-05,4.085463366113117e-05,94.61066027800901,1.3789585457951374e-19,23.652665069502252
2.9115,0.004376118719052144,0.0006401008043379016,-0.0004428402921803675,1.6828952912483752e-05,3.209107287156131e-05,3.718756214507918e-05,121.66758502799343,2.352044218655947e-25,30.416896256998356
2.9125,0.004143476162666498,0.0005917093341985587,-0.00040222289095640136,1.8695111334540287e-05,3.5650132306668584e-05,4.132378142575435e-05,77.04593582439325,7.354229168048885e-16,19.261483956098314
2.9134,0.003947415645855418,0.0005782740548130618,-0.0004142829679034477,1.637323741057542e-05,3.1234983810186596e-05,3.6195448425989146e-05,72.92111711350907,5.4821998112041416e-15,18.230279278377267
2.9139,0.0039034615736095717,0.0005404470925336373,-0.00036093842861001195,1.559209284891671e-05,2.973437367688434e-05,3.445455013654756e-05,106.37222265792968,4.319697358803251e-22,26.59305566448242
2.9145,0.003912594346931667,0.0005299893154064915,-0.0003601550021217143,2.0731164061500945e-05,3.9597896091341016e-05,4.584844875181262e-05,56.174392871950374,1.8432635689676238e-11,14.043598217987594
2.915,0.0042329848542660515,0.0006282071021555071,-0.0004381958609199913,2.3021137598096222e-05,4.398036150148927e-05,5.105611954054434e-05,43.50818920853375,8.116640560474785e-09,10.877047302133438
2.9154,0.005888935567076796,0.0009886912893441288,-0.0004925336702660335,3.645326188189734e-05,6.978610139374048e-05,8.120143824689378e-05,38.349342611844335,9.491886299167888e-08,9.587335652961084
2.9155,0.006093291471161945,0.0010598098380427533,-0.0006467867195435037,3.1096448595299174e-05,5.929738888557741e-05,6.92458821913502e-05,71.64344020168797,1.0207718861866499e-14,17.91086005042199
2.9157,0.005605692613856423,0.00098667261622996,-0.0005191605294440757,4.186500238207347e-05,7.993231952632436e-05,9.334615492320143e-05,21.767143201344997,0.0002229830736869903,5.441785800336249
2.9158,0.0049686606619960445,0.0008016617988459208,-0.0005341225850222118,3.321375985930813e-05,6.364200437231471e-05,7.37220967279827e-05,28.073401054434665,1.2052883734380379e-05,7.018350263608666
2.916,0.004305756522206213,0.0006650616364203775,-0.0004249085739364824,2.7836509804153434e-05,5.2599503554019224e-05,6.134194175024043e-05,36.02277032691611,2.8626521100080513e-07,9.005692581729027
2.9165,0.0037837771991372105,0.0005500500360799102,-0.00034903476747313693,1.904516091552217e-05,3.644153618601157e-05,4.21051278142205e-05,73.30219804969042,4.554152774738612e-15,18.325549512422604
2.9169,0.0037037652163496647,0.0005035170302206656,-0.00035374848471089303,1.62138780477593e-05,3.098591522841267e-05,3.5812738790583454e-05,70.92171998049402,1.4500103116176106e-14,17.730429995123504
2.9175,0.003524767488975843,0.0004768313136400272,-0.0003393472355594021,9.959892855444785e-06,1.900696518914533e-05,2.198330317227153e-05,244.93871160162303,8.012974408071816e-52,61.23467790040576
2.9179,0.003429798517499036,0.0004646031250327065,-0.0003590676942642479,1.5182193883042196e-05,2.897521149629583e-05,3.3506724479381815e-05,88.9897789070493,2.1581302467360048e-18,22.247444726762325
2.9184,0.003371538563428993,0.00044105252115302215,-0.00032012645160267757,9.492932599457625e-06,1.8178357745475517e-05,2.0948129604062996e-05,197.96506546706652,1.0288601894286584e-41,49.49126636676663
2.9189,0.00331360044600195,0.0004493040997793356,-0.00030094944451109894,9.579777140677004e-06,1.8286162373345388e-05,2.1156427362264303e-05,214.5793768268029,2.7495869698918804e-45,53.644844206700725
2.9195,0.0032608636304156465,0.0004460779958741362,-0.000339455733997001,8.451062599860338e-06,1.6121088957316655e-05,1.8650454741195077e-05,270.0094517944959,3.1750203373523765e-57,67.50236294862397
2.9199,0.003207094308537033,0.0004006000367690471,-0.00030001439581567747,9.991937314735538e-06,1.9084665050502437e-05,2.203541468587039e-05,175.73167668827153,6.15298847519518e-37,43.93291917206788
2.9204,0.003171196497274704,0.00041246875632983864,-0.00030408644229684006,9.904365781663683e-06,1.8911545987128612e-05,2.1856316838134747e-05,164.06883778075078,1.9595786559657876e-34,41.017209445187696
2.9208,0.003123329127958227,0.00039924137380378593,-0.00028750173843717676,1.051992384015692e-05,2.0105810083195055e-05,2.32000911318799e-05,145.8131579963874,1.6060466160803216e-30,36.45328949909685
2.9214,0.003086075024452435,0.00040794196548418976,-0.00029553111869444915,9.226927500590456e-06,1.764699506282116e-05,2.0354526324730735e-05,200.06454811097012,3.639112601631476e-42,50.01613702774253
2.9219,0.003052424843784869,0.0004030528988340724,-0.00030773015059441886,1.0318268818290783e-05,1.9698519453870373e-05,2.2750689047650356e-05,150.9838238507631,1.2528374842828033e-31,37.74595596269077
2.9225,0.0030051548650956925,0.00039075219062908615,-0.00030260375206723946,1.0359178821795145e-05,1.977918446410824e-05,2.283263557336622e-05,161.93199852292702,5.630500958886781e-34,40.482999630731754
2.923,0.002960101041627185,0.0003895665238420735,-0.0002771503859089978,1.2012026061167599e-05,2.2933802497734692e-05,2.6457756347626993e-05,118.38112631371249,1.1841138119928055e-24,29.59528157842812
2.9235,0.0029301439208793416,0.00039127618871294357,-0.00030343954867720303,1.167399740938127e-05,2.2330727200015125e-05,2.573262126299654e-05,100.35207352640553,8.277339333202916e-21,25.088018381601383
2.9258,0.0028040644223102295,0.00037451371932414315,-0.0002935810559595098,1.0218940856217231e-05,1.9519597005461052e-05,2.251672796738408e-05,116.09722309649716,3.639301300534922e-24,29.02430577412429
2.9298,0.0026194090725789763,0.0003178757501188453,-0.0002643936625289843,1.0954967147714915e-05,2.099037430627851e-05,2.412670377695346e-05,92.36004962166112,4.1498100242752337e-19,23.09001240541528
2.9397,0.00227323073832457,0.00028317827112663225,-0.00021847675687948964,9.745451755839936e-06,1.8682672045930314e-05,2.147461307282845e-05,79.1948937339599,2.5795624731583183e-16,19.798723433489975
2.9501,0.0020531215741619426,0.0002416625470748144,-0.00018809319492087747,9.99101643344911e-06,1.918044964285542e-05,2.2006736975413505e-05,71.25545120257264,1.2327792636432538e-14,17.81386280064316
2.9597,0.0018645083512634627,0.00022666962863805576,-0.0001750929762402262,9.971214590081673e-06,1.9126547597152152e-05,2.1948094053715453e-05,55.14424263470416,3.030556205626825e-11,13.78606065867604
2.9698,0.0017353565890968583,0.00021083409386415432,-0.00016722201107339943,8.747153059762995e-06,1.680517978273673e-05,1.925928276857808e-05,62.23785376225246,9.817090610620458e-13,15.559463440563116
2.9798,0.001628444460046149,0.0001975265591499342,-0.00014449242242280634,9.927095302494723e-06,1.9068794567077967e-05,2.184548861989741e-05,58.265532635166444,6.7118052933357875e-12,14.566383158791611
2.9897,0.0015431753968737191,0.0001983620697278987,-0.0001263233162777642,9.893644216630579e-06,1.9057479379897043e-05,2.1813708718518306e-05,47.67354758482215,1.103864730506725e-09,11.918386896205538
2.9984,0.0014725667802515754,0.00020942301900246608,-0.0001169366085954466,1.7218300648341072e-05,3.322425540823289e-05,3.795789035179928e-05,8.841568490053092,0.06518383661975706,2.210392122513273
2.9999,0.0014928444321477092,0.00021338132828809724,-0.000167267962823961,1.4188392670496293e-05,2.720622371022151e-05,3.128362005623326e-05,29.64252739328297,5.7869286905193e-06,7.410631848320742
3.0035,0.001483422832514747,0.00020717522154562807,-0.00014284056481621114,1.324347933419528e-05,2.5517327047436553e-05,2.915369480870658e-05,10.410869995227147,0.03404713206688243,2.6027174988067867
3.0076,0.001560815281788838,0.00018136532810884235,-0.00013607514703035516,1.6089063459780512e-05,3.106011419212212e-05,3.538659862194571e-05,5.0793124045521045,0.2792559322224441,1.2698281011380261
3.0095,0.0016192944013600909,0.00021622586719526027,-0.00016024815509597641,1.318272672817211e-05,2.537239616804048e-05,2.893206147006057e-05,10.30034098020273,0.035661247403184396,2.5750852450506825
3.0108,0.0016861297224345802,0.00018960625942948716,-0.00014574184352230107,1.9486478182820993e-05,3.7471231797321064e-05,4.2755245486603545e-05,7.287613159128895,0.12144762657489044,1.8219032897822238
3.0112,0.0016948893206728513,0.00020322954716419143,-0.00015149242234855243,1.912713334894434e-05,3.6909707765961854e-05,4.214344683732919e-05,6.478533934325384,0.16614795407692265,1.619633483581346
