,a0,a1,a2,a3,a4,a0_err,a1_err,a2_err,a3_err,a4_err,Chi2,Pval,Chi2NDF
3.0728,0.019751949411418224,-0.02711250225695494,0.02936567350192476,-0.01578218480206317,0.004454080879624289,0.0034551943925588907,0.008029868963809868,0.007788186664372058,0.004424115647097194,0.0012435360164568382,395270.356784478,0.0,197635.178392239
3.0729,0.021374436808002883,-0.03279672781065912,0.03472195242286347,-0.018937038147452512,0.005325767647029078,0.004403018495347411,0.01023174965753522,0.009920164216539977,0.0056308050085577,0.0015796143181104239,340343.5918765387,0.0,170171.79593826935
3.0733,0.021909907906848325,-0.035521856423841314,0.03714156058439855,-0.020489310007050676,0.005772141184328117,0.0035991334512846546,0.008364941879719884,0.00811651126639578,0.004614614782288991,0.0012985174357342346,615390.9276726125,0.0,307695.46383630624
3.0734,0.016744063323161917,-0.026565417327709895,0.02763600201134153,-0.014775644531925813,0.0039025266098806632,0.004303956221677164,0.010000628830470417,0.009695684817309095,0.005503751014997891,0.0015440983462809076,227922.13695687248,0.0,113961.06847843624
3.0735,0.015322571256337625,-0.023433037157928993,0.024811029555074526,-0.013519920703360278,0.0037391739000387503,0.003032040654452489,0.007046723825101535,0.006838384509989365,0.0038883318111455323,0.0010935000788089395,389169.1161770133,0.0,194584.55808850666
3.0737,0.012681426766240733,-0.02044726855162793,0.021383236750287082,-0.0118708928232234,0.003438076253604594,0.0036796494701936172,0.00854943688919814,0.008288128970246774,0.00470358106016314,0.0013183326954931242,183209.70161412875,0.0,91604.85080706437
3.0738,0.009592845176579878,-0.014150392569103332,0.015127683744514897,-0.00825341594315443,0.0022736506279061874,0.0027357637552486245,0.006357934037904871,0.006169783514150953,0.0035087230745771128,0.000986742762197629,175042.5751862954,0.0,87521.2875931477
3.0745,0.007698193189757507,-0.01403281537828871,0.014258957016622276,-0.007970126276894973,0.002206887735055507,0.0022366286809262534,0.005195808230677968,0.005037337145313241,0.002859638806919499,0.0008019524831646168,223682.2440291822,0.0,111841.1220145911
3.0746,0.0037436913272719252,-0.004844385619130698,0.005401759496005631,-0.00302809694181283,0.0008728577244536684,0.0018819398077602554,0.004374040163926925,0.004245939954984415,0.002416787127406006,0.0006796715198671516,46673.24039730322,0.0,23336.62019865161
3.0754,0.0030941925350740362,-0.004670458579245196,0.004957240583266742,-0.0028527879148720903,0.0008293099525126246,0.0016368057993823776,0.003802621780830384,0.0036889885214365405,0.002096428313488177,0.0005877059645442498,51025.031490626905,0.0,25512.515745313452
3.0765,0.0025044315992439614,-0.0038580608408547157,0.00404265579051577,-0.002361356411517468,0.0006934881239827329,0.0015795597292491126,0.003670018528688851,0.003561464013758024,0.0020257361859348276,0.0005686359994224721,37394.38664304705,0.0,18697.193321523526
3.0775,0.0021714854715511045,-0.0032672795621118134,0.003400136768438422,-0.0019229526668165242,0.0005375505865818364,0.0012423337723542845,0.002886260019821307,0.002800127740434725,0.001590840479486305,0.0004454064387141211,43355.1959540834,0.0,21677.5979770417
3.0778,0.003290776943068452,-0.005960447486211606,0.006010423047789981,-0.0034378677453728024,0.0009576226928259546,0.0015007517010977242,0.0034862181141643925,0.0033782926530697044,0.0019158472272914348,0.0005353948331972955,87559.29831496548,0.0,43779.64915748274
