Run,Detector,Yield,Yield err,Area,Area err,sig1,X2NDF,IsValid,Status,Q int
run_0109,det2,0.00903139,0.000148123,6892.83,113.049,8.60584,1.0511,1,0,763208
run_0109,det3,0.0206978,0.000200035,15796.8,152.668,9.24064,1.0035,1,0,763208
run_0109,det4,0.0211569,0.000205184,16147.1,156.598,9.54669,1.33013,1,0,763208
run_0109,det5,0.0213157,0.000206956,16268.4,157.95,9.93747,1.33314,1,0,763208
run_0109,det6,0.0212658,0.000202285,16230.2,154.385,8.81609,1.3069,1,0,763208
run_0109,det7,0.0211769,0.00020529,16162.4,156.679,9.31495,1.35697,1,0,763208
run_0109,det8,0.0213761,0.000201496,16314.4,153.783,8.69953,0.985419,1,0,763208
run_0109,det9,0.0213694,0.000198513,16309.3,151.507,8.26562,1.2745,1,0,763208
run_0109,det10,0.0102021,0.000168596,7786.33,128.674,10.0311,1.87775,1,0,763208
run_0109,det11,0.0179821,0.000200878,13724.1,153.312,10.5494,1.33947,1,0,763208
run_0109,det12,0.023475,0.000211986,17916.3,161.789,8.77387,1.31196,1,0,763208
run_0110,det0,0.023287,0.000242205,13163.6,136.913,8.26027,1.24706,1,0,565276
run_0110,det1,0.0225755,0.000242195,12761.4,136.907,8.6755,1.29951,1,0,565276
run_0110,det2,0.00944976,0.000176891,5341.73,99.9922,8.98504,1.27068,1,0,565276
run_0110,det3,0.0210757,0.000235069,11913.6,132.879,9.14766,1.3354,1,0,565276
run_0110,det4,0.0208993,0.000237576,11813.9,134.296,9.33566,1.26304,1,0,565276
run_0110,det5,0.0216125,0.000246568,12217.1,139.379,9.97741,0.909309,1,0,565276
run_0110,det6,0.0216381,0.000238054,12231.5,134.566,8.93662,0.90312,1,0,565276
run_0110,det7,0.0214335,0.000240425,12115.9,135.907,9.33351,1.64842,1,0,565276
run_0110,det8,0.0218528,0.000237433,12352.9,134.215,8.79925,1.01999,1,0,565276
run_0110,det9,0.0218228,0.000233802,12335.9,132.163,8.45115,1.46755,1,0,565276
