Run,Angle,Detector,Ep,Q int,Yield,Yield effcor,Yield err,Yield err effcor
507,15,5,2359.2,212041.0,0.061114999999999996,2.7821977486368885e-09,0.000597693,2.7209361351158115e-11
507,0,6,2359.2,212041.0,0.0597102,2.714538873107438e-09,0.000587372,2.67030444877904e-11
507,-15,7,2359.2,212041.0,0.0585235,2.682361831337398e-09,0.00058936,2.7012683262569893e-11
507,-30,8,2359.2,212041.0,0.0580382,2.5983243659033206e-09,0.0005780690000000001,2.587969247622026e-11
507,-45,9,2359.2,212041.0,0.05715830000000001,2.6681285272260794e-09,0.000569844,2.660010938863853e-11
507,-90,10,2359.2,212041.0,0.022449700000000003,1.7993937418416374e-09,0.000416449,3.3379320186737814e-11
507,-105,11,2359.2,212041.0,0.059932900000000004,2.8883306246964163e-09,0.000608085,2.9305281872202415e-11
507,-120,12,2359.2,212041.0,0.061378499999999996,2.6305764373980265e-09,0.000594598,2.548344271241545e-11
508,120,0,2358.8,211019.0,0.07591039999999999,3.254783796608966e-09,0.000649494,2.7848128151014146e-11
508,105,1,2358.8,211019.0,0.0502234,2.3295919755804382e-09,0.000550453,2.5532538452876128e-11
508,90,2,2358.8,211019.0,0.0351043,2.7179581874580405e-09,0.00047169800000000005,3.6521321920892396e-11
508,45,3,2358.8,211019.0,0.06612080000000001,3.166191055767015e-09,0.000614426,2.942175693020507e-11
508,30,4,2358.8,211019.0,0.0662501,3.059386304051367e-09,0.0006212559999999999,2.8689195906266337e-11
508,15,5,2358.8,211019.0,0.0671875,3.0586420884650407e-09,0.000624605,2.843450257362912e-11
508,0,6,2358.8,211019.0,0.06532080000000001,2.9696073840395175e-09,0.0006102719999999999,2.7744121894902752e-11
508,-15,7,2358.8,211019.0,0.064198,2.9424464505403524e-09,0.0006233780000000001,2.857186179390236e-11
508,-30,8,2358.8,211019.0,0.0641366,2.8713449163860166e-09,0.000604325,2.7055152854921828e-11
508,-45,9,2358.8,211019.0,0.06355369999999999,2.9666634588636824e-09,0.0005971209999999999,2.7873389766766392e-11
508,-90,10,2358.8,211019.0,0.0250838,2.0105227571685708e-09,0.00043687699999999996,3.501667014501525e-11
508,-105,11,2358.8,211019.0,0.06574980000000001,3.168662969882393e-09,0.000637557,3.072561828460784e-11
508,-120,12,2358.8,211019.0,0.0676688,2.9001678246780155e-09,0.000627156,2.6878822326593133e-11
509,120,0,2358.3,326675.0,0.08238560000000002,3.532418693010545e-09,0.000541547,2.3219722208053123e-11
509,105,1,2358.3,326675.0,0.056270600000000004,2.6100888872735935e-09,0.000464065,2.1525466219884274e-11
509,90,2,2358.3,326675.0,0.0387381,2.9993059557253186e-09,0.000395034,3.058559477398209e-11
509,45,3,2358.3,326675.0,0.0723487,3.4644137221021377e-09,0.0005132509999999999,2.4576997337652844e-11
509,30,4,2358.3,326675.0,0.0747571,3.45223400222186e-09,0.0005274419999999999,2.4356926721340203e-11
509,15,5,2358.3,326675.0,0.0743817,3.38615067135375e-09,0.0005250459999999999,2.3902181119705534e-11
509,0,6,2358.3,326675.0,0.07166180000000001,3.2578812634499745e-09,0.0005119640000000001,2.327485387139177e-11
509,-15,7,2358.3,326675.0,0.0709624,3.2524854668653954e-09,0.000516667,2.368087760150366e-11
509,-30,8,2358.3,326675.0,0.0712164,3.1883019695979064e-09,0.000510363,2.2848548341532237e-11
509,-45,9,2358.3,326675.0,0.07003569999999999,3.2692408468104805e-09,0.00050265,2.3463518057923145e-11
509,-90,10,2358.3,326675.0,0.0281735,2.2581691330296337e-09,0.00036357,2.9140949888923416e-11
509,-105,11,2358.3,326675.0,0.0728853,3.512542261098424e-09,0.000531384,2.5608850575788596e-11
509,-120,12,2358.3,326675.0,0.0737789,3.1620361513745893e-09,0.000518384,2.2217042383312375e-11
511,120,0,2357.4,216863.0,0.0969737,4.157907578635061e-09,0.000715151,3.066328048500204e-11
511,105,1,2357.4,216863.0,0.06505459999999999,3.0175311534980736e-09,0.000608129,2.8207816247361908e-11
511,90,2,2357.4,216863.0,0.0453646,3.5123641830419353e-09,0.000519046,4.0187251287373513e-11
