,a0,a1,a2,a3,a4,a5,a0_err,a1_err,a2_err,a3_err,a4_err,a5_err,Chi2,Pval,Chi2NDF
2.3725,0.003220780487845687,-0.007360412314326936,0.007722251030045868,-0.005004722239903003,0.0020111154693158717,-0.00039497356626772007,0.0034154919683144496,0.008215165703073823,0.008650913964465972,0.005775359029598252,0.0024332513811363924,0.0005133405863109497,1373275.2746376724,0.0,1373275.2746376724
2.373,0.005303283430421857,-0.012381155797271504,0.01295524531185066,-0.008465842195583662,0.0034514503034994704,-0.0006972959190209016,0.0038994488567167126,0.009377182268773111,0.009868831853517978,0.006581242250429212,0.002767730257631896,0.0005820357424086157,2866679.833184552,0.0,2866679.833184552
2.3741,0.003291498788966507,-0.007661817101997315,0.008080961619160831,-0.005334139185510622,0.0022093441646191536,-0.00045808792261614606,0.0029714219497036388,0.0071446319778292276,0.00751877211459773,0.005013487579006534,0.0021078647147816415,0.00044336850935628786,1648490.4914065176,0.0,1648490.4914065176
2.375,-2.9441345205327707e-05,0.0003005595679397288,-0.00035771880451207494,0.00034805448607855283,-0.00022429436915527567,7.586769130535354e-05,0.0027621887648285985,0.006643492268404645,0.006994304585231568,0.004667312059565367,0.0019647416244970846,0.00041346994002592507,4605.703701783923,0.0,4605.703701783923
2.3759,0.0009523690713280075,-0.0021293561808199968,0.0023057382169362484,-0.0015595051997028264,0.0006686425229855963,-0.00015011138390524925,0.0022863021107529325,0.005496435321335214,0.005781908654620712,0.0038525233247214373,0.0016177452684221895,0.00033925801425933666,203020.25290765933,0.0,203020.25290765933
2.377,0.003536259982348966,-0.008356088182061683,0.008818630165158936,-0.005860820098575914,0.0024562093420883446,-0.0005271523121711807,0.002711406581500426,0.006520588736133786,0.00686401595044736,0.004578732509840172,0.0019267523385700647,0.00040607922864534154,3176255.5379945994,0.0,3176255.5379945994
2.3779,0.0010006175343271195,-0.0022624676898175267,0.002373048687246637,-0.00153909322434842,0.0006297954496867764,-0.0001280380184633112,0.002465921200277607,0.005930433996809168,0.006244035650176223,0.004166406724424677,0.0017536150742523727,0.0003693420776729426,354711.9051622546,0.0,354711.9051622546
2.3799,0.0038047131563896386,-0.009057797597144202,0.009580378184841365,-0.0064130210514292685,0.00269730013928271,-0.0005618580193929024,0.0027566663901824402,0.006626995656732987,0.006971733218696317,0.004645945698411215,0.0019491438640848596,0.00040756624850640815,4252685.52631597,0.0,4252685.52631597
2.3819,0.0015547889377707236,-0.0036619193843723252,0.0038882460698559385,-0.002616894016299831,0.0011291426380761749,-0.0002525995007716386,0.0025557715955674036,0.006147632021082298,0.0064751341260960585,0.0043242411562448135,0.0018232709512494636,0.00038561662211621854,604329.3116714472,0.0,604329.3116714472
2.384,0.0010305983060021617,-0.002393438063123199,0.0025134714193040253,-0.0016641738599574296,0.000704682136300594,-0.00015382148191619982,0.00261615475379309,0.0062909258281895536,0.0066209585035723285,0.004415725954629896,0.001856037837872858,0.0003885604888600324,286210.86214509717,0.0,286210.86214509717
